date,ice,temp,street
2012/8/1,12220,26,4540
2012/8/2,15330,32,5250
2012/8/3,11680,32,6000
2012/8/4,12640,29,5120
2012/8/5,15150,34,4640
2012/8/6,16440,33,8620
2012/8/7,16080,35,5810
2012/8/8,9830,34,4170
2012/8/9,14520,29,5160
2012/8/10,14610,34,4260
2012/8/11,11570,28,4910
2012/8/12,11290,34,5870
2012/8/13,10770,26,5580
2012/8/14,13890,30,5660
2012/8/15,12060,30,4330
2012/8/16,18830,34,6410
2012/8/17,12160,25,4130
2012/8/18,6550,30,4390
2012/8/19,9420,31,5650
2012/8/20,10480,26,5150
2012/8/21,13610,27,5560
2012/8/22,17380,29,7540
2012/8/23,18540,29,8920
2012/8/24,13090,30,7830
2012/8/25,12990,30,4050
2012/8/26,15070,35,5040
2012/8/27,10020,30,4050
2012/8/28,16070,30,5200
2012/8/29,16540,31,8810
2012/8/30,20030,26,8870
2012/8/31,11160,27,4410
